Model,Variable,Coefficient,Std_Error,T_Statistic,P_Value
GDP vs Domestic Demand,const,-0.2992347545659847,0.16807110136294495,-1.780405745778957,0.11288056670881105
GDP vs Domestic Demand,Domestic_Demand_Growth_Pct,1.1448024306470987,0.05526919072053373,20.713211388162758,3.092784234293637e-08
GDP vs Expenditure Components,const,0.772362659006658,0.3468694675182943,2.226666603240087,0.07648467510335481
GDP vs Expenditure Components,Consumption_Growth_Pct,0.7109766248031448,0.1324094548433452,5.369530639970594,0.0030158680144352556
GDP vs Expenditure Components,Investment_Growth_Pct,0.14743373106340535,0.06462381195589181,2.2814149552804843,0.07141160641425524
GDP vs Expenditure Components,Government_Growth_Pct,-0.3162881337895296,0.21242701754578658,-1.4889261142187658,0.1966804865986343
GDP vs Expenditure Components,Net_Exports_Growth_Pct,-0.003967135528511917,0.0030450012065704113,-1.3028354537107414,0.24940341169283167
GDP vs Financial Conditions,const,0.6158115282985099,1.3152621985766073,0.46820438462000097,0.653867028593213
GDP vs Financial Conditions,Interest_Rate_Change_Ppt,0.5202902124826683,0.931484293137466,0.5585603711364838,0.5938702354428763
GDP vs Financial Conditions,FX_Change_Pct,-0.038890916932675074,0.20561377988000004,-0.1891454792347698,0.8553461141769804
